condition,seed,iteration,best_combined_score
treatment,400,10,-3857.7209235
treatment,400,20,-3857.1738865222223
treatment,400,30,-3856.5876263888886
treatment,400,40,-3856.5876263888886
treatment,401,10,-3856.5876263888886
treatment,401,30,-3856.5876263888886
treatment,401,40,-3855.8463561888893
control,400,10,-3855.8463561888893
control,400,20,-3855.8463561888893
control,400,30,-3855.1455702333333
control,400,40,-3855.1455702333333
control,401,10,-3854.9266621222223
control,401,20,-3854.9266621222223
control,401,30,-3854.9266621222223
control,401,40,-3854.9266621222223
