condition,seed,iteration,best_combined_score
treatment,500,10,0.9486609607896715
treatment,500,15,0.9486609607896715
treatment,500,20,0.9486609607896715
treatment,500,25,0.9486609607896715
treatment,500,30,0.9504048510589433
treatment,500,5,0.8593936479679464
treatment,501,10,0.9431329008757705
treatment,501,15,0.9484116384624893
treatment,501,20,0.9484116384624893
treatment,501,25,0.9491390203894613
treatment,501,30,0.9502888773130378
treatment,501,5,0.9431329008757705
treatment,502,10,0.9390812356611203
treatment,502,15,0.9438501685448119
treatment,502,20,0.9438501685448119
treatment,502,25,0.9438501685448119
treatment,502,30,0.9525343154712425
treatment,502,5,0.916436069931536
control,500,10,0.9503174049292715
control,500,15,0.9539643670114157
control,500,20,0.9576460248856187
control,500,25,0.9576460248856187
control,500,30,0.9576460248856187
control,500,5,0.947802761433085
control,501,10,0.929964839448027
control,501,15,0.929964839448027
control,501,20,0.9397403347590532
control,501,25,0.9436054469677596
control,501,30,0.9436054469677596
control,501,5,0.9083440702004122
control,502,10,0.9487666034155599
control,502,15,0.9555767250549453
control,502,20,0.9555767250549453
control,502,25,0.955698746475238
control,502,30,0.964635033157757
control,502,5,0.9487666034155599
