condition,seed,iteration,best_combined_score
treatment,400,10,1.4819287579954987
treatment,400,15,1.4819287579954987
treatment,400,20,1.4819287579954987
treatment,400,25,1.4819287579954987
treatment,400,30,1.4819287579954987
treatment,400,5,1.4814083135454825
treatment,401,10,1.475317164326218
treatment,401,15,1.4753756157965803
treatment,401,20,1.4753756157965803
treatment,401,25,1.4850349354715915
treatment,401,30,1.4928044617141731
treatment,401,5,1.475317164326218
control,400,10,1.3630458536512844
control,400,15,1.4968866636042346
control,400,20,1.4976168613483356
control,400,25,1.4981317664067948
control,400,30,1.4986563672346547
control,400,5,1.3630458536512844
control,401,10,1.4989658249264814
control,401,15,1.4989658249264814
control,401,20,1.4989658249264814
control,401,25,1.4989658249264814
control,401,30,1.4989658249264814
control,401,5,1.4989658249264814
