condition,seed,iteration,best_combined_score
control,500,5,0.9997704552033178
control,500,10,0.9997704552033178
control,500,15,0.9997704552033178
control,500,20,0.9997707363033118
control,500,25,0.9997752541864399
control,500,30,0.9997778771567954
control,501,5,0.9988731227223673
control,501,10,0.9997773045160298
control,501,15,0.9997781512874944
control,501,20,0.9997781512874944
control,501,25,0.9997791774947484
control,501,30,0.9997791774947484
treatment,500,5,0.9997747692403245
treatment,500,10,0.9997837493145063
treatment,500,20,0.9997837493145063
treatment,500,25,0.9997837493145063
treatment,500,30,0.9997837493145063
treatment,501,5,0.9997733223895413
treatment,501,15,0.9997769292034551
treatment,501,20,0.9997830987322348
treatment,501,25,0.9997830987322348
treatment,501,30,0.9997830987322348
