condition,seed,iteration,best_combined_score
control,500,10,0.6863888888888889
control,500,15,0.6863888888888889
control,500,20,0.7458333333333333
control,500,30,0.7458333333333333
control,501,5,0.6863888888888889
control,501,10,0.6863888888888889
control,501,15,0.6863888888888889
control,501,25,0.6863888888888889
control,501,30,0.6863888888888889
treatment,500,5,0.7458333333333333
treatment,500,10,0.8052777777777778
treatment,500,15,0.8052777777777778
treatment,500,20,0.8052777777777778
treatment,500,25,0.8052777777777778
treatment,500,30,0.8052777777777778
treatment,501,5,0.7458333333333333
treatment,501,10,0.7458333333333333
treatment,501,15,0.7755555555555556
treatment,501,20,0.7755555555555556
treatment,501,25,0.7755555555555556
treatment,501,30,0.8052777777777778
