condition,seed,iteration,best_combined_score
treatment_diff,201,10,0.6783180556535733
treatment_diff,201,20,0.7368267978141813
treatment_diff,201,5,0.6783180556535733
treatment_diff,200,10,0.6783180556535733
treatment_diff,200,15,0.727497576650456
treatment_diff,200,20,0.727497576650456
treatment_diff,200,5,0.6783180556535733
treatment_full,200,10,0.7304012550820205
treatment_full,200,15,0.7304012550820205
treatment_full,200,20,0.7304012550820205
treatment_full,200,5,0.36423689449571406
treatment_diff,202,10,0.8425047438330169
treatment_diff,202,15,0.8425047438330169
treatment_diff,202,20,0.8425047438330169
control_diff,200,10,0.7778376833390731
control_diff,200,15,0.7778376833390731
control_diff,200,20,0.7865479736331566
control_diff,200,5,0.6524651944631715
control_diff,201,10,0.6783180556535733
control_diff,201,15,0.7833470277928478
control_diff,201,20,0.7833470277928478
control_diff,201,5,0.36423689449571406
control_diff,202,10,0.8073141279972402
control_diff,202,15,0.8073141279972402
control_diff,202,20,0.8073141279972402
control_diff,202,5,0.5544062636229902
treatment_full,201,10,0.36423689449571406
treatment_full,201,15,0.6150189137518457
treatment_full,201,20,0.6544030146681873
treatment_full,201,5,0.36423689449571406
control_full,201,10,0.44689906564605
control_full,201,15,0.6202636025116068
control_full,201,20,0.6594294298924476
control_full,201,5,0.36423689449571406
treatment_full,202,10,0.36423689449571406
treatment_full,202,15,0.36423689449571406
treatment_full,202,20,0.36423689449571406
treatment_full,202,5,0.36423689449571406
control_full,202,10,0.6598729078845825
control_full,202,15,0.6788264570819236
control_full,202,20,0.8260527403032827
control_full,202,5,0.36423689449571406
control_full,200,10,0.36423689449571406
control_full,200,15,0.5761804698520326
control_full,200,20,0.5761805307556773
control_full,200,5,0.36423689449571406
