condition,seed,iteration,best_combined_score
control_diff,200,10,1.4971470707629058
control_diff,200,15,1.4971470707629058
control_diff,200,20,1.497950271593472
control_diff,200,5,1.3633665095379388
treatment_diff,200,10,1.4962874132478223
treatment_diff,200,15,1.4995336313424885
treatment_diff,200,20,1.4995448977811596
treatment_diff,200,5,1.4962874132478223
control_diff,201,10,1.4989004988386117
control_diff,201,15,1.4989004988386117
control_diff,201,20,1.4989004988386117
control_diff,201,5,1.4989004988386117
treatment_full,202,10,1.2147685971231066
treatment_full,202,15,1.4938733578173848
treatment_full,202,20,1.495172133644334
treatment_full,202,5,1.2147685971231066
treatment_diff,201,20,1.4834220422294082
treatment_diff,201,5,1.3630862720393588
treatment_full,200,10,1.4943408847257071
treatment_full,200,15,1.4945618903840328
treatment_full,200,20,1.4945618903840328
treatment_full,200,5,1.2147685971231066
control_diff,202,10,1.3636625554203574
control_diff,202,15,1.4863959367535209
control_diff,202,20,1.4984897148275724
control_diff,202,5,1.3636625554203574
treatment_full,201,10,1.4991413272209215
treatment_full,201,15,1.4991413272209215
treatment_full,201,20,1.4991413272209215
treatment_full,201,5,1.2147685971231066
control_full,202,10,1.479039101366455
control_full,202,15,1.481919158611723
control_full,202,20,1.481919158611723
control_full,202,5,1.479039101366455
treatment_diff,202,10,1.499468565275123
treatment_diff,202,15,1.499468565275123
treatment_diff,202,20,1.4995114617026313
treatment_diff,202,5,1.363142822625488
control_full,201,10,1.4812697547002638
control_full,201,15,1.4812697547002638
control_full,201,20,1.4902067254013163
control_full,201,5,1.4812697547002638
control_full,200,10,1.4832676126336057
control_full,200,15,1.4859942652337308
control_full,200,20,1.498351394935601
control_full,200,5,1.4832676126336057
