condition,seed,iteration,best_combined_score
treatment,42,10,-3862.1469729555547
treatment,42,15,-3862.1469729555547
treatment,42,20,-3862.1469729555547
treatment,42,25,-3862.1469729555547
treatment,42,30,-3856.870760955555
treatment,42,5,-3866.975604777777
treatment,43,10,-3881.3760428111104
treatment,43,15,-3881.3760428111104
treatment,43,20,-3879.6781011111107
treatment,43,25,-3879.6781011111107
treatment,43,30,-3879.6781011111107
treatment,43,5,-3926.1174112888884
control,42,10,-3916.5781306888885
control,42,15,-3916.5781306888885
control,42,20,-3874.5326177888883
control,42,25,-3870.7890643888886
control,42,30,-3869.488250377777
control,42,5,-3959.553409144444
control,43,10,-4286.4230003777775
control,43,15,-4277.161810944443
control,43,20,-3894.0211332111103
control,43,25,-3894.0211332111103
control,43,30,-3885.8052504555544
control,43,5,-4286.4230003777775
