condition,seed,iteration,best_combined_score
treatment_diff,302,20,0.003372681281618887
treatment_diff,302,30,0.003372681281618887
treatment_diff,302,40,0.003372681281618887
treatment_diff,302,50,0.003372681281618887
treatment_diff,300,20,0.003372681281618887
treatment_diff,300,30,0.006745362563237774
treatment_diff,300,40,0.006745362563237774
treatment_diff,300,50,0.006745362563237774
treatment_full,300,10,0.37099494097807756
treatment_full,300,20,0.37099494097807756
treatment_full,300,30,0.37099494097807756
treatment_full,300,40,0.37099494097807756
treatment_full,300,50,0.37099494097807756
control_diff,301,20,0.01011804384485666
control_diff,301,30,0.01011804384485666
control_diff,301,40,0.01011804384485666
control_diff,301,50,0.7386172006745363
control_diff,300,20,0.003372681281618887
control_diff,300,30,0.003372681281618887
control_diff,300,40,0.003372681281618887
control_diff,300,50,0.003372681281618887
control_diff,302,20,0.003372681281618887
control_diff,302,30,0.003372681281618887
control_diff,302,50,0.003372681281618887
control_full,302,10,0.37099494097807756
control_full,302,20,0.4654300168634064
control_full,302,30,0.4688026981450253
control_full,302,40,0.47554806070826305
control_full,302,50,0.47554806070826305
treatment_full,301,10,0.37099494097807756
treatment_full,301,20,0.37099494097807756
treatment_full,301,30,0.37099494097807756
treatment_full,301,40,0.37099494097807756
treatment_full,301,50,0.37099494097807756
treatment_diff,301,20,0.003372681281618887
treatment_diff,301,30,0.18549747048903878
treatment_diff,301,40,0.18549747048903878
treatment_diff,301,50,0.18549747048903878
