condition,seed,iteration,best_combined_score
treatment,100,20,0.8500948766603416
treatment,100,5,0.8500948766603416
control,101,10,0.8182761787698818
control,101,15,0.8302135824661987
control,101,20,0.8969868023169922
control,101,5,0.8182761787698818
treatment,101,10,0.727497576650456
treatment,101,15,0.727497576650456
treatment,101,20,0.7319107054378885
treatment,101,5,0.6234072307933024
control,100,15,0.8946917366469689
control,100,20,0.8946917366469689
control,100,5,0.8807251150355424
control,102,10,0.9028632521734304
control,102,15,0.9028632521734304
control,102,20,0.9071723624009332
control,102,5,0.6482144713160557
treatment,102,20,0.727497576650456
