condition,seed,iteration,best_combined_score
treatment,100,10,1.4735626321715585
treatment,100,15,1.492396625149968
treatment,100,20,1.492396625149968
treatment,100,5,1.4735626321715585
control,101,10,1.494212719787655
control,101,15,1.494212719787655
control,101,20,1.494212719787655
control,101,5,1.4933790684589026
treatment,102,10,1.4707943598756548
treatment,102,15,1.4983697851629285
treatment,102,20,1.4983697851629285
treatment,102,5,1.4707943598756548
treatment,101,10,1.4845180963128133
treatment,101,15,1.4884202924286687
treatment,101,20,1.4978960988687795
treatment,101,5,1.4690387089191024
control,102,10,1.498868258689696
control,102,15,1.498868258689696
control,102,20,1.4989302394046882
control,102,5,1.498868258689696
control,100,10,1.4975900829640194
control,100,15,1.4975900829640194
control,100,20,1.4975900829640194
control,100,5,1.492614293127168
