condition,seed,iteration,best_combined_score
control,300,10,-3899.473177311111
control,300,15,-3862.2693023555557
control,300,20,-3862.2693023555557
control,300,25,-3862.2693023555557
control,300,5,-3900.3535632111107
control,301,10,-3857.136570366667
control,301,15,-3857.136570366667
control,301,20,-3857.136570366667
control,301,25,-3856.254444444444
control,301,5,-3873.250333922222
treatment,300,10,-3853.8751467666657
treatment,300,15,-3853.135256766666
treatment,300,20,-3853.135256766666
treatment,300,25,-3853.135256766666
treatment,300,5,-3854.600876855555
treatment,301,10,-3916.216860655555
treatment,301,15,-3881.1774468111107
treatment,301,20,-3881.1774468111107
treatment,301,25,-3881.1774468111107
treatment,301,5,-3916.216860655555
