condition,seed,iteration,best_combined_score
control,300,10,0.9297912713472484
control,300,15,0.964029625901946
control,300,20,0.964029625901946
control,300,25,0.964029625901946
control,300,5,0.9297912713472484
control,301,10,0.8476803651609738
control,301,15,0.8842139786348159
control,301,20,0.9316283402727639
control,301,25,0.9571491822363883
control,301,5,0.7462470588235296
treatment,300,10,0.8811191346634201
treatment,300,15,0.9348210027995577
treatment,300,20,0.9662175665280051
treatment,300,25,0.9662175665280051
treatment,300,5,0.7969639468690701
treatment,301,15,0.9033303543562955
treatment,301,20,0.9033303543562955
treatment,301,25,0.9033303543562955
treatment,301,5,0.8984998841767058
