condition,seed,iteration,best_combined_score
control,300,10,1.4960193112716529
control,300,15,1.499535615542526
control,300,20,1.499535615542526
control,300,25,1.499535615542526
control,300,5,1.2147685971231066
control,301,10,1.497848738075263
control,301,15,1.498547035740227
control,301,20,1.4993046422974161
control,301,25,1.4993046422974161
control,301,5,1.497848738075263
treatment,300,10,1.4835465285142986
treatment,300,15,1.4991644916132978
treatment,300,20,1.4991644916132978
treatment,300,25,1.499451580469683
treatment,300,5,1.4835465285142986
treatment,301,10,1.4968836575730726
treatment,301,15,1.4968836575730726
treatment,301,20,1.4993972051007503
treatment,301,25,1.4993972051007503
treatment,301,5,1.4483673277337552
